Title,Title_URL,Image,Price,Label,Label1,btn
Minute Maid Pulpy Minuman Jus Buah Rasa Jeruk Botol 300 ml,https://alfagift.id/p/minute-maid-pulpy-minuman-jus-buah-rasa-jeruk-botol-300-ml-14850,https://c.alfagift.id/product/1/1_A12520003409_20230419091712684_small.jpg,Rp 6.900,Produk Online,Pengiriman Instan,Beli
Frestea Minuman Teh Rasa Apel Botol 500 ml,https://alfagift.id/p/frestea-minuman-teh-rasa-apel-botol-500-ml-15044,https://c.alfagift.id/product/1/1_A12790003643_20251127153123102_small.jpg,Rp 7.300,Produk Online,Pengiriman Instan,Beli
Frestea Minuman Teh Green Tea Madu 500 ml,https://alfagift.id/p/frestea-minuman-teh-green-tea-madu-500-ml-14355,https://c.alfagift.id/product/1/1_A12790002792_20251127153658265_small.jpg,Rp 7.300,Produk Online,Pengiriman Instan,Beli
ABC Minuman Sari Kacang Hijau 250 ml,https://alfagift.id/p/abc-minuman-sari-kacang-hijau-250-ml-14625,https://c.alfagift.id/product/1/A12740003130_A12740003130_20251113104242593_small.jpg,Rp 5.800,Produk Online,Pengiriman Instan,Beli
Nutriboost Minuman Susu Rasa Stroberi Botol 300 ml,https://alfagift.id/p/nutriboost-minuman-susu-rasa-stroberi-botol-300-ml-15511,https://c.alfagift.id/product/1/1_A12990004219_20230710091750745_small.jpg,Rp 7.700,Produk Online,Pengiriman Instan,Beli
Fruit Tea Minuman Teh Blackcurrant 350 ml,https://alfagift.id/p/fruit-tea-minuman-teh-blackcurrant-350-ml-178873,https://c.alfagift.id/product/1/1_A12790040881_20240625161751128_small.jpg,Rp 4.500,Produk Online,Pengiriman Instan,Beli
Wall's Es Krim Ice Ball Anggur 69 ml,https://alfagift.id/p/walls-es-krim-ice-ball-anggur-69-ml-834631,https://c.alfagift.id/product/1/1_A8346310002167_20260120140915908_small.jpg,Rp 10.500,Produk Online,Pengiriman Instan,Beli
Clear Sampo Pria Anti Ketombe & Rambut Rontok 160 ml,https://alfagift.id/p/clear-sampo-pria-anti-ketombe--rambut-rontok-160-ml-836676,https://c.alfagift.id/product/1/1_A8366760002167_20260325141821517_small.jpg,Rp 38.500,Produk Online,Pengiriman Instan,Beli
Pepsodent FIFA Limited Edition Pasta Gigi Fresh Breath Best Defender 95 g,https://alfagift.id/p/pepsodent-fifa-limited-edition-pasta-gigi-fresh-breath-best-defender-95-g-836677,https://c.alfagift.id/product/1/1_A8366770002167_20260325142254308_small.jpg,Rp 19.500,Produk Online,Pengiriman Instan,Beli
Durex Performa Kondom Tahan Lama 3 pcs,https://alfagift.id/p/durex-performa-kondom-tahan-lama-3-pcs-836607,https://c.alfagift.id/product/1/1_A8366070002167_20260318120156312_small.jpg,Rp 43.900,Produk Online,Pengiriman Instan,Beli
"Scora 2,5% D-Panthenol Barrier Shield Moisturizer Wajah 40 g",https://alfagift.id/p/scora-25-d-panthenol-barrier-shield-moisturizer-wajah-40-g-836682,https://c.alfagift.id/product/1/1_A8366820002167_20260325152206773_small.jpg,Rp 41.500,Produk Online,Pengiriman Instan,Beli
Alfamart Makarizo Hair Energy Scentsations Parfum Rambut Assorted 60 ml,https://alfagift.id/p/alfamart-makarizo-hair-energy-scentsations-parfum-rambut-assorted-60-ml-836429,https://c.alfagift.id/product/1/1_A8364290002167_20260313131659818_small.jpg,Rp 17.900,Produk Online,Pengiriman Instan,Beli
Minute Maid Pulpy Minuman Jus Buah Rasa Jeruk Botol 300 ml,https://alfagift.id/p/minute-maid-pulpy-minuman-jus-buah-rasa-jeruk-botol-300-ml-14850,https://c.alfagift.id/product/1/1_A12520003409_20230419091712684_small.jpg,Rp 6.900,Produk Online,Pengiriman Instan,Beli
Frestea Minuman Teh Rasa Apel Botol 500 ml,https://alfagift.id/p/frestea-minuman-teh-rasa-apel-botol-500-ml-15044,https://c.alfagift.id/product/1/1_A12790003643_20251127153123102_small.jpg,Rp 7.300,Produk Online,Pengiriman Instan,Beli
Frestea Minuman Teh Green Tea Madu 500 ml,https://alfagift.id/p/frestea-minuman-teh-green-tea-madu-500-ml-14355,https://c.alfagift.id/product/1/1_A12790002792_20251127153658265_small.jpg,Rp 7.300,Produk Online,Pengiriman Instan,Beli
